fips_code,county,state,sum
48455,Trinity,Texas,145153
48457,Tyler,Texas,511364
48459,Upshur,Texas,262216
48461,Upton,Texas,63339
48463,Uvalde,Texas,260630
48465,Val Verde,Texas,611074
48467,Van Zandt,Texas,496907
48469,Victoria,Texas,240149
48471,Walker,Texas,992688
48473,Waller,Texas,381907
48475,Ward,Texas,224790
48477,Washington,Texas,268153
48479,Webb,Texas,561475
48481,Wharton,Texas,129470
48483,Wheeler,Texas,550606
48485,Wichita,Texas,424267
48487,Wilbarger,Texas,109464
48489,Willacy,Texas,62929
48491,Williamson,Texas,1278352
48493,Wilson,Texas,51083
48495,Winkler,Texas,65648
48497,Wise,Texas,238745
48499,Wood,Texas,205592
48501,Yoakum,Texas,91762
48503,Young,Texas,28894
48505,Zapata,Texas,164643
48507,Zavala,Texas,145673
